equipo_local,equipo_visitante,fecha,fase,
Kairat Almaty,Olympiacos ,2025-12-09,Liga,5
Bayern München,Sporting CP ,2025-12-09,Liga,5
Monaco,Galatasaray,2025-12-09,Liga,5
Atalanta,Chelsea,2025-12-09,Liga,5
Barcelona,Frankfurt,2025-12-09,Liga,5
Inter,Liverpool,2025-12-09,Liga,5
PSV Eindhoven,Atlético de Madrid,2025-12-09,Liga,5
Union Saint Gilloise,Marseille,2025-12-09,Liga,5
Tottenham,Slavia Praha,2025-12-09,Liga,5
Qarabağ,Ajax ,2025-12-10,Liga,5
Villarreal,Copenhagen ,2025-12-10,Liga,5
Athletic Club,Paris Saint-Germain,2025-12-10,Liga,5
Leverkusen,Newcastle United,2025-12-10,Liga,5
B.Dortmund,Bodø_Glimt,2025-12-10,Liga,5
Club Brugge,Arsenal,2025-12-10,Liga,5
Juventus,Pafos,2025-12-10,Liga,5
Real Madrid,Manchester City,2025-12-10,Liga,5
Benfica,Napoli,2025-12-10,Liga,5
6
