equipo_local,equipo_visitante,fecha,fase,jornada
Ajax,Olympiacos,2028-01-28,Liga,1
Arsenal,Kairat Almaty,2028-01-28,Liga,1
Monaco,Juventus,2028-01-28,Liga,1
Athletic Club, Sporting CP,2028-01-28,Liga,1
Atlético de Madrid,Bodø_Glimt,2028-01-28,Liga,1
Leverkusen,Villarreal,2028-01-28,Liga,1
B.Dortmund,Inter,2028-01-28,Liga,1
Club Brugge,Marseille,2028-01-28,Liga,1
Frankfurt,Tottenham,2028-01-28,Liga,1
Barcelona,Copenhagen,2028-01-28,Liga,1
Liverpool,Qarabağ,2028-01-28,Liga,1
Manchester City,Galatasaray,2028-01-28,Liga,1
Pafos,Slavia Praha,2028-01-28,Liga,1
Paris Saint-Germain,Newcastle United,2028-01-28,Liga,1
PSV Eindhoven,Bayern München,2028-01-28,Liga,1
Union Saint Gilloise,Atalanta,2028-01-28,Liga,1
Benfica,Real Madrid,2028-01-28,Liga,1
Napoli,Chelsea,2028-01-28,Liga,1
