Goleador,Goles
Kylian Mbappe,9
Julian Alvarez,6
Vinicius Junior,6
Etta Eyong,5
Ferran Torres,4
Ivan Romero,4
Robert Lewandowski,4
Borja Iglesias,4
Vedat Muriqi,4
Arda Guler,4
Pape Gueye,3
Raphinha,3
Adrian Liso,3
Pere Milla,3
Rafa Mir,3
Ante Budimir,3
Tajon Buchanan,3
Fermin Lopez,3
Azzedine Ounahi,3
Cucho Hernandez,3
Alfonso Gonzalez,3
Baptiste Santamaria,3
Hugo Duro,3
Arnaut Danjuma,3
Alvaro Garcia,2
Jorge de Frutos,2
Nicolas Pepe,2
Lamine Yamal,2
Diego Lopez,2
Alexander Sørloth,2
Luis Morales,2
Javier Rueda,2
Javier Puado,2
Roberto Fernandez,2
Borja Mayoral,2
Pablo Fornals,2
Carlos Alvarez,2
Rodrigo Mendoza,2
Isaac Romero,2
Mikel Oyarzabal,2
Carlos Vicente,2
Andre Silva,2
Manor Solomon,2
Georges Mikautadze,2
Marc Bartra,2
Vladyslav Vanat,2
Isi Palazon,1
Joel Roca,1
Jeremy Toljan,1
Nahuel Tenaglia,1
Toni Martinez,1
Takefusa Kubo,1
cristantus Uche,1
Maroan Sannadi,1
Nico Williams,1
Robert Navarro,1
Lucien Agoume,1
Peque,1
Carlos Romero,1
Aitor Ruibal,1
German Valera,1
Oihan Sancet,1
Giovani Lo,1
Pedri,1
Mateu Morey,1
Ander Barrenetxea,1
Orri Oskarsson,1
Miguel Sierra,1
Nicolas Gonzalez,1
Pablo Barrios,1
Enrique Garcia,1
Ismael Bekhoucha,1
Alexis Sanchez,1
Ruben Vargas,1
Dani Olmo,1
Jon Aramburu,1
Goduine Koyalipou,1
Victor Garcia,1
Conor Gallagher,1
Takuma Asano,1
Eder Militao,1
Giuliano Simeone,1
Rafa Marin,1
Miguel Rubio,1
Leander Dendoncker,1
Aitor Paredes,1
Fran Perez,1
Antoine Griezmann,1
Robin Le Normand,1
Alvaro Odriozola,1
Jules Kounde,1
Abde Ezzalzouli,1
Juan Iglesias,1
Akor Adams,1
Marash Kumbulla,1
Alberto Moleiro,1
John Donald,1
Luka Ilic,1
Salomon Rondon,1
Mikel Jauregizar,1
Pep Chavarria,1
Franco Mastantuono,1
Mauro Arambarri,1
Ander Guevara,1
Eric Garcia,1
Ronald Araujo,1
Alberto Reina,1
Hugo Alvarez,1
Adria Pedrosa,1
Victor Munoz,1
Samu Costa,1
Alejandro Rego,1
Inaki Williams,1
Arnau Martinez,1
Abel Bretones,1
Alejandro Catena,1
Cedric Bakambu,1
Leandro Cabrera,1
Mario Martin,1
Iker Benito,1
Raul Garcia,1
Brais Mendez,1
Djibril Sow,1
Dodi Lukebakio,1
Mouctar Diakhaby,1
