

	Alemania	4/2 estrellas4/2 estrellas4/2 estrellas4/2 estrellas	33.º	21	19	2022
	Arabia Saudita		23.º	7	3	2022
	Argelia		20.º	5	1	2014
	Argentina	3/2 estrellas3/2 estrellas3/2 estrellas	7.º	19	14	2022
	Australia		11.º	7	6	2022
	Austria		35.º	8	1	1998
	Bosnia y Herzegovina		46.º	2	1	2014
	Brasil	5/2 estrellas5/2 estrellas5/2 estrellas5/2 estrellas5/2 estrellas	12.º	23	23	2022
	Bélgica		35.º	15	4	2022
	Cabo Verde		22.º	1	1	—
	Canadá		1.º	3	2	2022
	Catar		25.º	2	2	2022
	Colombia		14.º	7	1	2018
	Corea del Sur		9.º	12	11	2022
	Costa de Marfil		27.º	4	1	2014
	Croacia		30.º	7	4	2022
	Curazao		41.º	1	1	—
	Ecuador		12.º	5	2	2022
	Egipto		19.º	4	1	2018
	Escocia		39.º	9	1	1998
	España	1/1 estrellas	38.º	17	13	2022
	Estados Unidos		1.º	12	2	2022
	Francia	2/2 estrellas2/2 estrellas	29.º	17	8	2022
	Ghana		21.º	5	2	2022
	Haití		42.º	2	1	1974
	Irak		48.º	2	1	1986
	Irán		6.º	7	4	2022
	Inglaterra	1/1 estrellas	25.º	17	8	2022
	Japón		4.º	8	8	2022
	Jordania		10.°	1	1	—
	Marruecos		17.º	7	3	2022
	México		1.º	18	9	2022
	Noruega		32.º	4	1	1998
	Nueva Zelanda		5.º	3	1	2010
	Países Bajos		34.º	12	2	2022
	Panamá		40.º	2	1	2018
	Paraguay		14.º	9	1	2010
	Portugal		31.º	9	7	2022
	República Checa[n 3]		45.º	10	1	2006
	República Democrática del Congo		47.º	2	1	1974
	Senegal		28.º	4	3	2022
	Sudáfrica		23.º	4	1	2010
	Suiza		37.º	13	6	2022
	Suecia		44.º	13	1	2018
	Túnez		18.º	7	3	2022
	Turquía		43.º	3	1	2002
	Uruguay	2/2 estrellas2/2 estrellas	14.º	15	5	2022
	Uzbekistán
